Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
paintingAvengers,,,,,"Avenger Genesis Cover","Caratula Avengers Genesis",,
paintingCastlevania,,,,,"Castlevania Mega Drive Cover","Caratula Castlevania Mega Drive",,
paintingGng,,,,,"Ghouls'n Ghosts Mega Drive cover","Caratula Ghouls'n Ghosts Mega Drive",,
paintingGoldenAxe,,,,,"Golden Axe Mega Drive cover","Caratula Golden Axe Mega Drive",,
paintingMoonwalker,,,,,"Moonwalker Mega Drive cover","Caratula Moonwalker Mega Drive",,
paintingPs4,,,,,"Phantasy Star 4 (JAP) Mega Drive cover","Caratula Phantasy Star4 (JAP) Mega Drive",,
paintingSf2,,,,,"Street Fighter 2 Mega Drive cover","Caratula Street Fighter 2 Mega Drive",,
paintingShinobiRevenge,,,,,"Revenge of Shinobi Genesis cover","Caratula Revenge of Shinobi Genesis",,
paintingSonic,,,,,"Sonic Mega Drive cover","Caratula Sonic Mega Drive",,
paintingXmen,,,,,"X-men Mega Drive cover","Caratula X-men Mega Drive",,
GamePicturesVariantHelper,,,,,"Game Pictures Cover Variant Helper","Formas para Cuadros de Juegos",,
GamePicturesVariantHelperDesc,,,,,"Select in to diferent game cover to decorate your base.","Elige entre varias caratulas de juegos para decorar tu base.",,
