Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
zombieRancherIrradiation,,,,,"Rancher [8FCE00]Irradiation [000000]Elite","Rancher [8FCE00]Irradiado [000000]Elite",,
zombieRancherElectric,,,,,"Rancher [16537E]Electric [000000]Elite","Rancher [16537E]Electrico [000000]Elite",,
zombieRancherFire,,,,,"Rancher [FF0000]Fire [000000]Elite","Rancher [FF0000]Fuego [000000]Elite",,
zombieChuckIrradiation,,,,,"Chuck [8FCE00]Irradiation [000000]Elite","Chuck [8FCE00]Irradiado [000000]Elite",,
zombieChuckElectric,,,,,"Chuck [16537E]Electric [000000]Elite","Chuck [16537E]Electrico [000000]Elite",,
zombieChuckFire,,,,,"Chuck [FF0000]Fire [000000]Elite","Chuck [FF0000]Fuego [000000]Elite",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
questLetterHardTM,,,,,"A letter with a special hard request","Una carta con una petición especialmente dificil",,
questLetterHardTMDesc,,,,,"A letter with a special hard request. \n\nOpen the letter to get a challenge proposed by a survivor, a special request, which the seller will know how to reward appropriately.","Una carta con una petición especialmente dificil. \n\nAbre la carta para obtener un reto propuesto por algún superviviente, una petición especial, que el vendedor sabrá recompensar adecuadamente.",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
quest_radial_hard1_name,,,,,"Commandos Arlene","Arlene Comando",,
quest_radial_hard2_name,,,,,"Commandos Screamer","Gritona Comando",,
quest_radial_hard3_name,,,,,"Commandos Arlene (horde)","Arlene Comando (horda)",,
quest_radial_hard4_name,,,,,"Commandos General (horde)","General Comando (horda)",,
quest_radial_hard5_name,,,,,"Elite Burnt","Quemado Elite",,
quest_radial_hard6_name,,,,,"Elite Tom6K","Tom6K Elite",,
quest_radial_hard7_name,,,,,"Irradiation Wolf","Lobo Irradiado",,
quest_radial_hard8_name,,,,,"Irradiation Vulture","Buitre Irradiado",,
quest_radial_hard9_name,,,,,"Elite Rancher","Ranchero Elite",,
quest_radial_hard10_name,,,,,"Elite Lumberjack","Leñador Elite",,
quest_radial_hard11_name,,,,,"Elite Chuck","Quemado Chuck",,
quest_radial_hard12_name,,,,,"Elite Mutated","Mutante Elite",,
quest_radial_hard13_name,,,,,"Elite Wight","Criatura Elite",,
quest_radial_hard14_name,,,,,"Elite Super Cop","Super Policia Elite",,
quest_radial_hard15_name,,,,,"Elite Super Biker","Super Motero ELite",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
quest_radialHard1,,,,,"Commandos Arlene","Arlene Comando",,
quest_radialHard2,,,,,"Commandos Screamer","Gritona Comando",,
quest_radialHard3,,,,,"Commandos Arlene (horde)","Arlene Comando (horda)",,
quest_radialHard4,,,,,"Commandos General (horde)","General Comando (horda)",,
quest_radialHard5,,,,,"Elite Burnt","Quemado Elite",,
quest_radialHard6,,,,,"Elite Tom6K","Tom6K Elite",,
quest_radialHard7,,,,,"Irradiation Wolf","Lobo Irradiado",,
quest_radialHard8,,,,,"Irradiation Vulture","Buitre Irradiado",,
quest_radialHard9,,,,,"Elite Rancher","Ranchero Elite",,
quest_radialHard10,,,,,"Elite Lumberjack","Leñador Elite",,
quest_radialHard11,,,,,"Elite Chuck","Quemado Chuck",,
quest_radialHard12,,,,,"Elite Mutated","Mutante Elite",,
quest_radialHard13,,,,,"Elite Wight","Criatura Elite",,
quest_radialHard14,,,,,"Elite Super Cop","Super Policia Elite",,
quest_radialHard15,,,,,"Elite Super Biker","Super Motero ELite",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
questRadialHard1,,,,,"Commandos Arlene","Arlene Comando",,
questRadialHard2,,,,,"Commandos Screamer","Gritona Comando",,
questRadialHard3,,,,,"Commandos Arlene (horde)","Arlene Comando (horda)",,
questRadialHard4,,,,,"Commandos General (horde)","General Comando (horda)",,
questRadialHard5,,,,,"Elite Burnt","Quemado Elite",,
questRadialHard6,,,,,"Elite Tom6K","Tom6K Elite",,
questRadialHard7,,,,,"Irradiation Wolf","Lobo Irradiado",,
questRadialHard8,,,,,"Irradiation Vulture","Buitre Irradiado",,
questRadialHard9,,,,,"Elite Rancher","Ranchero Elite",,
questRadialHard10,,,,,"Elite Lumberjack","Leñador Elite",,
questRadialHard11,,,,,"Elite Chuck","Quemado Chuck",,
questRadialHard12,,,,,"Elite Mutated","Mutante Elite",,
questRadialHard13,,,,,"Elite Wight","Criatura Elite",,
questRadialHard14,,,,,"Elite Super Cop","Super Policia Elite",,
questRadialHard15,,,,,"Elite Super Biker","Super Motero ELite",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
questRadialHard1_name,,,,,"Commandos Arlene","Arlene Comando",,
questRadialHard2_name,,,,,"Commandos Screamer","Gritona Comando",,
questRadialHard3_name,,,,,"Commandos Arlene (horde)","Arlene Comando (horda)",,
questRadialHard4_name,,,,,"Commandos General (horde)","General Comando (horda)",,
questRadialHard5_name,,,,,"Elite Burnt","Quemado Elite",,
questRadialHard6_name,,,,,"Elite Tom6K","Tom6K Elite",,
questRadialHard7_name,,,,,"Irradiation Wolf","Lobo Irradiado",,
questRadialHard8_name,,,,,"Irradiation Vulture","Buitre Irradiado",,
questRadialHard9_name,,,,,"Elite Rancher","Ranchero Elite",,
questRadialHard10_name,,,,,"Elite Lumberjack","Leñador Elite",,
questRadialHard11_name,,,,,"Elite Chuck","Quemado Chuck",,
questRadialHard12_name,,,,,"Elite Mutated","Mutante Elite",,
