Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
TMDropBox,,,,,"TM - Drop Box","TM - Drop Box",,
TMDropBoxDesc,,,,,"Items placed in this chest will auto sort into nearby chests after the player closes the loot window.  It will only work on chests nearby that have the broadcast button enabled and have a existing same item in it.  It will fill existing stacks and add new stacks afterwards.  Any items it cannot find a home for will remain in this chest.","Los elementos colocados en este cofre se clasificarán automáticamente en cofres cercanos después de que el jugador cierre la ventana de botín. Solo funcionará en cofres cercanos que tengan el botón de transmisión habilitado y tengan el mismo elemento existente. Llenará las pilas existentes y luego agregará nuevas pilas. Cualquier artículo para el que no pueda encontrar un hogar permanecerá en este cofre.",,
TMDropBoxDescTip_title,,,,,"TM - Drop Box","TM - Drop Box",,
TMDropBoxDescTip,,,,,"Items placed in this chest will auto sort into nearby chests after the player closes the loot window.  It will only work on chests nearby that have the broadcast button enabled and have a existing same item in it.  It will fill existing stacks and add new stacks afterwards.  Any items it cannot find a home for will remain in this chest.","Los elementos colocados en este cofre se clasificarán automáticamente en cofres cercanos después de que el jugador cierre la ventana de botín. Solo funcionará en cofres cercanos que tengan el botón de transmisión habilitado y tengan el mismo elemento existente. Llenará las pilas existentes y luego agregará nuevas pilas. Cualquier artículo para el que no pueda encontrar un hogar permanecerá en este cofre.",,
TMStorageBox,,,,,"TM - Storage Box","TM - Caja de almacenamiento",,
TMStorageBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMStorageBoxDescTip_title,,,,,"TM - Storage Box","TM - Caja de almacenamiento",,
TMStorageBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMAmmoBox,,,,,"TM - Bullet Storage Box","TM - Caja de almacenamiento para balas",,
TMAmmoBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMAmmoBoxDescTip_title,,,,,"TM - Bullet Storage Box","TM - Caja de almacenamiento para balas",,
TMAmmoBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMBox,,,,,"TM - Storage box for the mod","TM - Caja de almacenamiento para el mod",,
TMBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMBoxDescTip_title,,,,,"TM - Storage box for the mod","TM - Caja de almacenamiento para el mod",,
TMBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMArmorBox,,,,,"TM - Armor Storage Box","TM - Caja de almacenamiento para armaduras",,
TMArmorBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMArmorBoxDescTip_title,,,,,"TM - Armor Storage Box","TM - Caja de almacenamiento para armaduras",,
TMArmorBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMFoodBox,,,,,"TM - Food storage box","TM - Caja de almacenamiento para comida",,
TMFoodBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMFoodBoxDescTip_title,,,,,"TM - Food storage box","TM - Caja de almacenamiento para comida",,
TMFoodBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMDrinkBox,,,,,"TM - Drink storage box","TM - Caja de almacenamiento para bebida",,
TMDrinkBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMDrinkBoxDescTip_title,,,,,"TM - Drink storage box","TM - Caja de almacenamiento para bebida",,
TMDrinkBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMFoodDrinkBox,,,,,"TM - Food & Drink storage box","TM - Caja de almacenamiento para comida y bebida",,
TMFoodDrinkBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMFoodDrinkBoxDescTip_title,,,,,"TM - Food % Drink storage box","TM - Caja de almacenamiento para comida y bebida",,
TMFoodDrinkBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMMedicalBox,,,,,"TM - Medicine storage box","TM - Caja de almacenamiento para medicina",,
TMMedicalBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMMedicalBoxDescTip_title,,,,,"TM - Medicine storage box","TM - Caja de almacenamiento para medicina",,
TMMedicalBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
